Module,Entity,Variable,Type,File Name,Format for Display,Size in Bytes,Size for Display,Description,Example,Validation
"Database Schema","Table: users","id","Text (String)","/application/src/db/schema.ts","String","Variable","50 chars","Unique identifier for user account","user_2Qf...","Primary Key, Not Null"
"Database Schema","Table: users","name","Text (String)","/application/src/db/schema.ts","String","Variable","100 chars","Full name of the user","Alice Smith","Not Null"
"Database Schema","Table: users","email","Text (String)","/application/src/db/schema.ts","Email","Variable","255 chars","Email address of the user","alice@example.com","Not Null, Unique"
"Database Schema","Table: users","role","Text (String)","/application/src/db/schema.ts","String","Variable","20 chars","User role in the system","user","Not Null, Default: 'user'"
"Database Schema","Table: users","web3_wallet","Text (String)","/application/src/db/schema.ts","Hex-String","Variable","42 chars","User's Web3 wallet address","0x123...","Unique, Nullable"
"Database Schema","Table: users","createdAt","Timestamp","/application/src/db/schema.ts","ISO-8601","8","24 chars","Account creation timestamp","2023-10-01T12:00:00Z","Not Null, DefaultNow"
"Database Schema","Table: students","enrolment_id","Serial (Int)","/application/src/db/schema.ts","Numeric","4","10 chars","Autoincrement PK for student records","12345","Primary Key"
"Database Schema","Table: students","user_id","Text (String)","/application/src/db/schema.ts","String","Variable","50 chars","Foreign key reference to users.id","user_2Qf...","FK (users.id), Not Null"
"Database Schema","Table: students","name","Text (String)","/application/src/db/schema.ts","String","Variable","100 chars","Full name of the student","Bob Jones","Not Null"
"Database Schema","Table: students","email","Text (String)","/application/src/db/schema.ts","Email","Variable","255 chars","Email address of the student","bob@example.com","Not Null"
"Database Schema","Table: students","hexcode","Text (String)","/application/src/db/schema.ts","Hex-String","Variable","8 chars","8-digit unique hexcode for student","a1b2c3d4","Not Null, Unique, 8 chars"
"Database Schema","Table: students","verifier","Text (String)","/application/src/db/schema.ts","Boolean String","Variable","5 chars","Indicates if the student is verified","false","Not Null, Default: 'false'"
"Database Schema","Table: students","wallet_address","Text (String)","/application/src/db/schema.ts","Hex-String","Variable","42 chars","Student's Web3 wallet address","0xABC...","Unique, Nullable"
"Database Schema","Table: students","createdAt","Timestamp","/application/src/db/schema.ts","ISO-8601","8","24 chars","Record creation timestamp","2023-10-01T12:00:00Z","Not Null, DefaultNow"
"Database Schema","Table: verifiers","id","Serial (Int)","/application/src/db/schema.ts","Numeric","4","10 chars","Autoincrement PK for verifiers","10","Primary Key"
"Database Schema","Table: verifiers","verifier_id","Text (String)","/application/src/db/schema.ts","String","Variable","50 chars","Unique ID for the verifier institution","ver_101","Not Null, Unique"
"Database Schema","Table: verifiers","user_id","Text (String)","/application/src/db/schema.ts","String","Variable","50 chars","Foreign key reference to users.id","user_2Qf...","FK (users.id), Not Null"
"Database Schema","Table: verifiers","name","Text (String)","/application/src/db/schema.ts","String","Variable","100 chars","Full name of the verifier","Dr. Smith","Not Null"
"Database Schema","Table: verifiers","email","Text (String)","/application/src/db/schema.ts","Email","Variable","255 chars","Email address of the verifier","smith@uni.edu","Not Null, Unique"
"Database Schema","Table: verifiers","university_name","Text (String)","/application/src/db/schema.ts","String","Variable","150 chars","Name of the university/institution","Stanford University","Nullable"
"Database Schema","Table: verifiers","web3_wallet","Text (String)","/application/src/db/schema.ts","Hex-String","Variable","42 chars","Verifier's Web3 wallet address","0xDEF...","Unique, Nullable"
"Database Schema","Table: verifiers","createdAt","Timestamp","/application/src/db/schema.ts","ISO-8601","8","24 chars","Record creation timestamp","2023-10-01T12:00:00Z","Not Null, DefaultNow"
"Database Schema","Table: documents","document_id","Serial (Int)","/application/src/db/schema.ts","Numeric","4","10 chars","Autoincrement PK for documents","5001","Primary Key"
"Database Schema","Table: documents","student_id","Int","/application/src/db/schema.ts","Numeric","4","10 chars","Reference to the owner student","12345","FK (students.enrolment_id)"
"Database Schema","Table: documents","ipfs_hash","Text (String)","/application/src/db/schema.ts","Base58","Variable","46 chars","IPFS storage hash","QmYwAP...","Not Null, Unique"
"Database Schema","Table: documents","url","Text (String)","/application/src/db/schema.ts","URL","Variable","255 chars","Publicly accessible URL for document","https://ipfs.io/...","Not Null, Unique"
"Database Schema","Table: documents","verifier_id","Text (String)","/application/src/db/schema.ts","String","Variable","50 chars","Reference to the uploading verifier","ver_101","FK (verifiers.verifier_id)"
"Database Schema","Table: documents","document_name","Text (String)","/application/src/db/schema.ts","String","Variable","150 chars","Human-readable name of the document","BSc Computer Science","Not Null"
"Database Schema","Table: documents","createdAt","Timestamp","/application/src/db/schema.ts","ISO-8601","8","24 chars","Document upload timestamp","2023-10-01T12:00:00Z","Not Null, DefaultNow"
"Database Schema","Table: documents","updatedAt","Timestamp","/application/src/db/schema.ts","ISO-8601","8","24 chars","Last modification timestamp","2023-10-05T12:00:00Z","DefaultNow, Nullable"
